userId  itemId  original  prediction
25 11 4.0 3.216
25 247 2.5 2.247
25 12 1.5 2.303
25 205 2.5 2.981
13 11 4.0 3.529
27 255 1.5 2.622
27 216 2.0 2.879
27 2 1.0 3.549
14 205 0.5 2.315
14 234 4.0 2.703
22 255 4.0 2.903
16 235 3.5 2.725
16 219 3.0 2.876
23 207 3.0 2.919
28 2 3.0 2.996
28 9 3.5 3.828
28 205 3.5 2.961
28 250 3.0 3.253
28 84 2.5 3.612
28 233 3.0 3.413
29 267 0.5 2.722
29 294 3.5 3.698
1 8 3.0 3.454
3 20 2.5 2.798
3 30 4.0 2.798
3 36 2.0 2.798
3 48 4.0 3.0
3 58 4.0 3.0
3 67 4.0 2.798
3 71 4.0 2.798
3 72 2.5 2.798
3 82 3.5 2.798
3 83 2.5 2.798
3 93 1.0 2.798
3 98 2.5 2.798
3 107 4.0 2.798
3 117 4.0 2.798
3 118 4.0 2.798
3 125 2.5 2.798
3 130 2.5 2.798
3 136 4.0 2.798
3 143 1.5 2.798
3 159 1.5 2.798
3 181 4.0 2.798
3 201 3.0 2.798
7 216 4.0 2.004
21 247 4.0 2.601
21 248 4.0 2.487
21 233 4.0 2.837
21 241 4.0 1.503
