userId  itemId  original  prediction
25 11 4.0 3.78
25 247 2.5 3.697
25 12 1.5 3.584
25 205 2.5 3.766
13 11 4.0 3.714
27 255 1.5 3.709
27 216 2.0 3.588
27 2 1.0 3.911
14 205 0.5 3.25
14 234 4.0 3.534
22 255 4.0 3.601
16 235 3.5 3.346
16 219 3.0 3.53
23 207 3.0 3.465
28 2 3.0 3.686
28 9 3.5 3.575
28 205 3.5 3.79
28 250 3.0 3.843
28 84 2.5 3.802
28 233 3.0 3.783
29 267 0.5 2.774
29 294 3.5 3.424
1 8 3.0 3.601
3 20 2.5 2.946
3 30 4.0 4.0
3 36 2.0 0.5
3 48 4.0 3.0
3 58 4.0 3.0
3 67 4.0 1.0
3 71 4.0 3.5
3 72 2.5 3.0
3 82 3.5 4.0
3 83 2.5 2.549
3 93 1.0 2.965
3 98 2.5 3.5
3 107 4.0 4.0
3 117 4.0 2.798
3 118 4.0 4.0
3 125 2.5 2.798
3 130 2.5 3.0
3 136 4.0 4.0
3 143 1.5 4.0
3 159 1.5 2.818
3 181 4.0 4.0
3 201 3.0 3.0
7 216 4.0 3.806
21 247 4.0 3.726
21 248 4.0 3.713
21 233 4.0 3.726
21 241 4.0 3.617
