userID	friendID
2	275
2	428
2	515
2	761
2	831
2	909
2	1209
2	1210
2	1230
2	1327
2	1585
2	1625
2	1869
3	78
3	255
3	460
3	837
3	1740
3	1801
3	1975
4	99
4	124
4	211
4	264
4	493
4	520
4	534
4	850
4	1103
4	2080
5	228
5	725
5	831
5	1271
5	1310
5	1481
5	1785
6	149
6	831
6	1271
6	1697
6	1761
7	46
7	232
7	390
7	545
7	815
7	873
7	1002
7	1135
7	1184
7	1308
7	1453
7	1466
7	1649
7	1666
7	1734
7	2020
7	2037
7	2061
8	339
8	370
8	419
8	749
8	831
8	1017
8	1178
8	1515
8	1568
8	1811
8	1813
9	743
9	831
9	1956
10	1196
10	1498
10	1530
10	1562
10	1986
11	12
11	25
11	129
11	136
11	145
11	230
11	278
11	405
11	684
11	795
11	804
11	816
11	859
11	984
11	1017
11	1132
11	1136
11	1178
11	1179
11	1189
11	1310
11	1475
11	1577
11	1684
11	1766
11	1780
11	1828
11	2004
11	2021
12	11
12	46
12	127
12	133
12	146
12	236
12	240
12	258
12	400
12	545
12	593
12	684
12	730
12	797
12	861
12	930
12	941
12	998
12	1023
12	1056
12	1088
12	1145
12	1146
12	1253
12	1272
12	1308
12	1346
12	1348
12	1368
12	1455
12	1568
12	1628
12	1636
12	1709
12	1726
12	1776
12	1820
12	1895
12	2004
12	2020
13	390
13	405
13	481
13	732
13	816
13	1135
13	1184
13	1659
13	1766
13	1780
13	2041
14	608
14	642
14	754
14	1258
14	1357
14	1554
14	1702
14	1761
15	122
15	143
15	237
15	266
15	416
15	454
15	771
15	1243
15	1258
15	1281
15	1383
15	1498
15	1556
15	1625
15	1662
15	1785
15	1805
15	1879
15	1993
15	2025
15	2036
16	143
16	252
16	339
16	437
16	545
16	701
16	726
16	732
16	743
16	790
16	815
16	1226
16	1263
16	1503
16	1567
16	1568
16	1632
16	1665
16	1706
16	1833
16	1895
16	1937
16	2000
16	2068
17	330
17	339
17	593
17	632
17	1071
17	1661
17	1917
18	298
18	308
18	401
18	475
18	675
